indic_to,c_resid,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 
LSTY,DOM,M04,NR,FI	50708 	43411 	16705 	27614 	20950 
LSTY,DOM,M04,NR,FR	2292841 	1065512 	253701 	1531753 	1180805 
LSTY,DOM,M04,NR,HR	26436 	20455 	2324 	20955 	18373 
LSTY,DOM,M04,NR,HU	30247 	13171 	9345 	25733 	22169 
LSTY,DOM,M04,NR,IE	42958 	20075 	10405 	33009 	21288 
LSTY,DOM,M04,NR,IS	2724 	2091 	948 	1675 	1450 
LSTY,DOM,M04,NR,IT	465794 	143360 	38041 	505690 	360333 
LSTY,DOM,M04,NR,LI	22 	10 	3 	29 	7 
LSTY,DOM,M04,NR,LT	18706 	15704 	5187 	9766 	6642 
LSTY,DOM,M04,NR,LU	891 	1723 	1405 	691 	772 
LSTY,DOM,M04,NR,LV	9253 	10563 	5293 	4199 	2507 
LSTY,DOM,M04,NR,MT	2940 	1553 	954 	2354 	1629 
LSTY,DOM,M04,NR,NL	71740 	136269 	27814 	50193 	41238 
LSTY,DOM,M04,NR,NO	39781 	29187 	13535 	27345 	20133 
LSTY,DOM,M04,NR,PL	304176 	122983 	32829 	229887 	184689 
LSTY,DOM,M04,NR,PT	83445 	67259 	13752 	67379 	45460 
LSTY,DOM,M04,NR,RO	63488 	46322 	5848 	42533 	29641 
LSTY,DOM,M04,NR,SE	34403 	37630 	16452 	17380 	12643 
LSTY,DOM,M04,NR,SI	4522 	1626 	302 	3681 	3808 
LSTY,DOM,M04,NR,SK	16507 	8812 	3305 	12598 	6979 
LSTY,DOM,M05,NR,AT	44789 	34551 	21480 	32767 	29490 
LSTY,DOM,M05,NR,BE	57713 	107002 	13207 	32203 	27998 
LSTY,DOM,M05,NR,BG	21194 	23543 	7850 	15722 	11223 
LSTY,DOM,M05,NR,CH	58976 	111541 	63362 	35381 	32577 
LSTY,DOM,M05,NR,CY	7131 	5847 	2013 	4471 	5848 
LSTY,DOM,M05,NR,CZ	41748 	26804 	17295 	42381 	33937 
LSTY,DOM,M05,NR,DE	1035019 	542486 	516739 	807007 	717005 
LSTY,DOM,M05,NR,DK	36700 	43758 	28643 	30004 	26314 
LSTY,DOM,M05,NR,EE	12622 	13386 	9546 	7926 	6521 
LSTY,DOM,M05,NR,EL	74074 	66312 	30540 	55867 	46972 
LSTY,DOM,M05,NR,ES	716777 	594248 	91732 	641437 	476114 
LSTY,DOM,M05,NR,EU27_2020	5625077 	4871484 	1730750 	4081271 	3532062 
LSTY,DOM,M05,NR,FI	42514 	38700 	22266 	24021 	19852 
LSTY,DOM,M05,NR,FR	2370301 	2243476 	559714 	1448233 	1374495 
LSTY,DOM,M05,NR,HR	34229 	23532 	10135 	24017 	21732 
LSTY,DOM,M05,NR,HU	31481 	21086 	16656 	27256 	24723 
LSTY,DOM,M05,NR,IE	35987 	41438 	11339 	34358 	28479 
LSTY,DOM,M05,NR,IS	2135 	2166 	1755 	1787 	1510 
LSTY,DOM,M05,NR,IT	420342 	326910 	74234 	353831 	282492 
LSTY,DOM,M05,NR,LI	17 	8 	1 	25 	6 
LSTY,DOM,M05,NR,LT	21083 	27389 	12708 	11492 	9797 
LSTY,DOM,M05,NR,LU	1001 	1584 	1332 	1029 	813 
LSTY,DOM,M05,NR,LV	9001 	12347 	6697 	4509 	3179 
LSTY,DOM,M05,NR,MT	2404 	2674 	1520 	2257 	1809 
LSTY,DOM,M05,NR,NL	85192 	191463 	63536 	56089 	50120 
LSTY,DOM,M05,NR,NO	39202 	37583 	24130 	29279 	24111 
LSTY,DOM,M05,NR,PL	332311 	273497 	133579 	285073 	225217 
LSTY,DOM,M05,NR,PT	70610 	90120 	34222 	56003 	48788 
LSTY,DOM,M05,NR,RO	63208 	61676 	13079 	47116 	31741 
LSTY,DOM,M05,NR,SE	38172 	39071 	21237 	20902 	16079 
LSTY,DOM,M05,NR,SI	4051 	3111 	1640 	4034 	3090 
LSTY,DOM,M05,NR,SK	15423 	15473 	7811 	11266 	8234 
LSTY,DOM,M06,NR,AT	51186 	56124 	51235 	41685 	30140 
LSTY,DOM,M06,NR,BE	58010 	87459 	41031 	37842 	28751 
LSTY,DOM,M06,NR,BG	31238 	29887 	20287 	26894 	21752 
LSTY,DOM,M06,NR,CH	63352 	97908 	79911 	40519 	32895 
LSTY,DOM,M06,NR,CY	11895 	12430 	9724 	10196 	7686 
LSTY,DOM,M06,NR,CZ	51790 	53283 	52165 	47646 	41460 
LSTY,DOM,M06,NR,DE	1207880 	1018554 	1177553 	1017424 	678184 
LSTY,DOM,M06,NR,DK	39929 	45031 	38556 	34500 	30586 
LSTY,DOM,M06,NR,EE	18092 	21368 	15036 	12316 	9695 
LSTY,DOM,M06,NR,EL	125371 	112447 	64955 	106883 	72761 
LSTY,DOM,M06,NR,ES	1128974 	1123433 	407028 	940967 	773617 
